99,49,41
98,49,43
94,49,48
91,47,39
91,46,47
91,51,42
90,45,44
88,47,49
88,53,45
86,53,40
84,49,43
84,49,43
83,50,39
83,54,36
80,50,45
80,50,38
79,55,42
79,48,49
78,51,39
78,50,38
77,50,45
77,51,44
77,55,37
77,53,41
75,49,40
73,51,45
70,48,40
70,54,41
69,52,40
66,55,40
63,52,36
63,49,42
63,53,44
63,55,38
59,54,40
56,53,31
56,51,41
55,51,35
55,55,38
55,55,37
53,50,35
52,49,44
52,45,43
49,51,40
45,44,47
45,53,42
45,43,43
44,47,39
44,53,42
44,47,39
44,57,36
43,50,40
43,53,39
43,44,42
42,50,40
39,46,39
38,55,43
35,50,37
35,51,39
32,50,32
32,50,32
32,44,42
31,51,35
31,53,32
31,54,39
29,50,34
28,50,39
27,52,40
24,50,38
21,55,36
21,52,38
21,48,31
21,51,33
21,51,37
18,49,37
17,49,27
17,54,35
16,50,41
15,52,37
14,54,30
14,52,36
10,54,35
10,59,34
8,58,33
7,65,26
7,49,32
7,48,41
7,52,37
5,43,39
4,54,39
3,58,30
3,54,37
0,53,36
